Type,Country,Year,Value,Unit
total-energy,Canada,2019,309.6728976941676,Mtep
total-energy,Canada,2020,289.3898449274909,Mtep
total-energy,Canada,2021,295.49556976675575,Mtep
total-energy,Canada,2022,302.5447032009667,Mtep
total-energy,Canada,2023,302.2413532529538,Mtep
total-energy,Canada,2024,301.7479676785309,Mtep
total-energy,Chile,1990,13.77636262803483,Mtep
total-energy,Chile,1991,14.18126928574803,Mtep
total-energy,Chile,1992,15.363250342131918,Mtep
total-energy,Chile,1993,15.742346142859494,Mtep
total-energy,Chile,1994,16.948387714662587,Mtep
total-energy,Chile,1995,18.22247140482199,Mtep
total-energy,Chile,1996,20.152292431727467,Mtep
total-energy,Chile,1997,22.47795894658967,Mtep
total-energy,Chile,1998,23.350795278423732,Mtep
total-energy,Chile,1999,24.841327536639696,Mtep
total-energy,Chile,2000,25.122998449289966,Mtep
total-energy,Chile,2001,24.651915745584336,Mtep
total-energy,Chile,2002,25.525260729934956,Mtep
total-energy,Chile,2003,25.79371633729909,Mtep
total-energy,Chile,2004,27.820225719912766,Mtep
total-energy,Chile,2005,28.63139228068068,Mtep
total-energy,Chile,2006,29.870262627879242,Mtep
total-energy,Chile,2007,31.07185048241677,Mtep
total-energy,Chile,2008,30.8315815133243,Mtep
total-energy,Chile,2009,30.38811259223066,Mtep
total-energy,Chile,2010,31.53983423304135,Mtep
total-energy,Chile,2011,34.538792879356336,Mtep
total-energy,Chile,2012,38.22326755893636,Mtep
total-energy,Chile,2013,39.45559613030526,Mtep
total-energy,Chile,2014,35.45959224382894,Mtep
total-energy,Chile,2015,36.44622418560951,Mtep
total-energy,Chile,2016,38.71921410899453,Mtep
total-energy,Chile,2017,39.24202143899156,Mtep
total-energy,Chile,2018,40.0178865733378,Mtep
total-energy,Chile,2019,42.301993815667984,Mtep
total-energy,Chile,2020,38.3761120716502,Mtep
total-energy,Chile,2021,40.92966958230551,Mtep
total-energy,Chile,2022,42.0726341091386,Mtep
total-energy,Chile,2023,40.32035053542898,Mtep
total-energy,Chile,2024,42.05681047680053,Mtep
total-energy,China,1990,739.742724522411,Mtep
total-energy,China,1991,768.1058092240086,Mtep
total-energy,China,1992,794.3019203533378,Mtep
total-energy,China,1993,845.6369798936549,Mtep
total-energy,China,1994,890.6105856828093,Mtep
total-energy,China,1995,960.1877481173452,Mtep
total-energy,China,1996,998.7521550930338,Mtep
total-energy,China,1997,996.1539184609657,Mtep
total-energy,China,1998,947.3523918300497,Mtep
total-energy,China,1999,983.5539373793731,Mtep
total-energy,China,2000,1010.0684025623078,Mtep
total-energy,China,2001,1030.4730681164003,Mtep
total-energy,China,2002,1130.292066644182,Mtep
total-energy,China,2003,1314.9208369014336,Mtep
total-energy,China,2004,1512.3189059348729,Mtep
total-energy,China,2005,1680.2046716095617,Mtep
total-energy,China,2006,1849.2814744441862,Mtep
total-energy,China,2007,2000.2267151939882,Mtep
total-energy,China,2008,2101.4395504105933,Mtep
total-energy,China,2009,2267.99909874723,Mtep
total-energy,China,2010,2504.1027292219833,Mtep
total-energy,China,2011,2708.483948008207,Mtep
total-energy,China,2012,2861.316414736349,Mtep
total-energy,China,2013,2952.609087124052,Mtep
total-energy,China,2014,2966.2212303085057,Mtep
total-energy,China,2015,2965.5101612837093,Mtep
total-energy,China,2016,2969.7844323379463,Mtep
total-energy,China,2017,3087.471610025442,Mtep
total-energy,China,2018,3234.5763244508557,Mtep
total-energy,China,2019,3385.1475792947895,Mtep
total-energy,China,2020,3501.212778822673,Mtep
total-energy,China,2021,3737.799491025924,Mtep
total-energy,China,2022,3920.911202567055,Mtep
total-energy,China,2023,4192.943314258749,Mtep
total-energy,China,2024,4342.877773440577,Mtep
total-energy,Colombia,1990,26.68274797023479,Mtep
total-energy,Colombia,1991,28.79729825824047,Mtep
total-energy,Colombia,1992,30.43431205262723,Mtep
total-energy,Colombia,1993,31.19611564985667,Mtep
total-energy,Colombia,1994,32.719730058183536,Mtep
total-energy,Colombia,1995,32.174388945286324,Mtep
total-energy,Colombia,1996,32.808305051238655,Mtep
total-energy,Colombia,1997,34.018493108667464,Mtep
total-energy,Colombia,1998,33.92235300391398,Mtep
total-energy,Colombia,1999,31.024347819659454,Mtep
total-energy,Colombia,2000,31.20385064861399,Mtep
total-energy,Colombia,2001,31.093998138846167,Mtep
total-energy,Colombia,2002,31.139873461039016,Mtep
total-energy,Colombia,2003,31.99800360380059,Mtep
total-energy,Colombia,2004,31.315093135747723,Mtep
total-energy,Colombia,2005,32.75912647788901,Mtep
total-energy,Colombia,2006,32.00908431930513,Mtep
total-energy,Colombia,2007,30.818193972262943,Mtep
total-energy,Colombia,2008,33.77252426693741,Mtep
total-energy,Colombia,2009,35.75432723473664,Mtep
total-energy,Colombia,2010,35.86145911268514,Mtep
total-energy,Colombia,2011,36.22604761680165,Mtep
total-energy,Colombia,2012,37.22523802569619,Mtep
total-energy,Colombia,2013,39.83977441024682,Mtep
total-energy,Colombia,2014,40.678485308686184,Mtep
total-energy,Colombia,2015,40.09755639299906,Mtep
total-energy,Colombia,2016,41.45233174839568,Mtep
total-energy,Colombia,2017,39.389169549216106,Mtep
total-energy,Colombia,2018,41.47955318259626,Mtep
total-energy,Colombia,2019,44.96148585796827,Mtep
total-energy,Colombia,2020,41.55733630271845,Mtep
total-energy,Colombia,2021,45.25308974935141,Mtep
total-energy,Colombia,2022,42.52773097499514,Mtep
total-energy,Colombia,2023,45.255080181837855,Mtep
total-energy,Colombia,2024,47.39380376790953,Mtep
total-energy,Czechia,1990,49.86062855935359,Mtep
total-energy,Czechia,1991,45.306209092862524,Mtep
total-energy,Czechia,1992,44.20177281677788,Mtep
total-energy,Czechia,1993,42.81306790493264,Mtep
total-energy,Czechia,1994,41.303382478684384,Mtep
total-energy,Czechia,1995,41.86168350411663,Mtep
total-energy,Czechia,1996,43.1230961797307,Mtep
total-energy,Czechia,1997,43.29888890843092,Mtep
total-energy,Czechia,1998,41.98607645713608,Mtep
total-energy,Czechia,1999,39.35551438155508,Mtep
total-energy,Czechia,2000,41.27355948375773,Mtep
total-energy,Czechia,2001,42.35247907943933,Mtep
total-energy,Czechia,2002,42.86316945932654,Mtep
total-energy,Czechia,2003,44.70171586906618,Mtep
total-energy,Czechia,2004,45.73215824958714,Mtep
total-energy,Czechia,2005,45.12290059020821,Mtep
total-energy,Czechia,2006,46.25578306112413,Mtep
total-energy,Czechia,2007,46.20831953889317,Mtep
total-energy,Czechia,2008,45.37209153746508,Mtep
total-energy,Czechia,2009,42.710735754418565,Mtep
total-energy,Czechia,2010,45.23926708099555,Mtep
total-energy,Czechia,2011,43.57696397708562,Mtep
total-energy,Czechia,2012,43.21353116983235,Mtep
total-energy,Czechia,2013,43.232067548838906,Mtep
total-energy,Czechia,2014,42.03783891787425,Mtep
total-energy,Czechia,2015,42.10435709098902,Mtep
total-energy,Czechia,2016,41.596625669749365,Mtep
total-energy,Czechia,2017,43.426063661847394,Mtep
total-energy,Czechia,2018,43.47348013521793,Mtep
total-energy,Czechia,2019,42.77019835552318,Mtep
total-energy,Czechia,2020,40.33302735483836,Mtep
total-energy,Czechia,2021,42.682857988860746,Mtep
total-energy,Czechia,2022,41.74090956339805,Mtep
total-energy,Czechia,2023,38.13290553574967,Mtep
total-energy,Czechia,2024,36.40281965918753,Mtep
total-energy,Denmark,1990,17.30750238382636,Mtep
total-energy,Denmark,1991,19.205758524886,Mtep
total-energy,Denmark,1992,18.373455811724465,Mtep
total-energy,Denmark,1993,18.901875877477153,Mtep
total-energy,Denmark,1994,19.566589738469947,Mtep
total-energy,Denmark,1995,19.634475076638196,Mtep
total-energy,Denmark,1996,22.395554679173898,Mtep
total-energy,Denmark,1997,20.856025388261887,Mtep
total-energy,Denmark,1998,20.571652702641128,Mtep
total-energy,Denmark,1999,19.61389873318474,Mtep
total-energy,Denmark,2000,19.067390293431174,Mtep
total-energy,Denmark,2001,19.590477014007917,Mtep
total-energy,Denmark,2002,19.300549216072536,Mtep
total-energy,Denmark,2003,20.111974554610786,Mtep
total-energy,Denmark,2004,19.4428298939614,Mtep
total-energy,Denmark,2005,18.925936054581822,Mtep
total-energy,Denmark,2006,20.337840935642596,Mtep
total-energy,Denmark,2007,19.88967602680799,Mtep
total-energy,Denmark,2008,19.63838167191482,Mtep
total-energy,Denmark,2009,18.764065526202508,Mtep
total-energy,Denmark,2010,19.49763094647773,Mtep
total-energy,Denmark,2011,18.128483863568807,Mtep
total-energy,Denmark,2012,17.29353211565984,Mtep
total-energy,Denmark,2013,17.271989904765416,Mtep
total-energy,Denmark,2014,16.265964125842483,Mtep
total-energy,Denmark,2015,16.20714104078054,Mtep
total-energy,Denmark,2016,16.614523864904427,Mtep
total-energy,Denmark,2017,16.820160818353784,Mtep
total-energy,Denmark,2018,16.79861982675545,Mtep
total-energy,Denmark,2019,16.256696836382467,Mtep
total-energy,Denmark,2020,15.702630492731176,Mtep
total-energy,Denmark,2021,16.624850658616204,Mtep
total-energy,Denmark,2022,15.793761472960549,Mtep
total-energy,Denmark,2023,15.398325347680842,Mtep
total-energy,Denmark,2024,15.288415498938637,Mtep
total-energy,Egypt,1990,30.101738010402013,Mtep
total-energy,Egypt,1991,30.48716998652262,Mtep
total-energy,Egypt,1992,31.282266633437057,Mtep
total-energy,Egypt,1993,36.018934582358206,Mtep
total-energy,Egypt,1994,33.86897413138878,Mtep
total-energy,Egypt,1995,38.058179248145336,Mtep
total-energy,Egypt,1996,37.65793146939545,Mtep
total-energy,Egypt,1997,41.97424590093118,Mtep
total-energy,Egypt,1998,46.45055264756088,Mtep
total-energy,Egypt,1999,48.20881498910423,Mtep
total-energy,Egypt,2000,54.526931670025,Mtep
total-energy,Egypt,2001,49.36657885344996,Mtep
total-energy,Egypt,2002,50.67370331700768,Mtep
total-energy,Egypt,2003,58.45218620695501,Mtep
total-energy,Egypt,2004,59.1715826251392,Mtep
total-energy,Egypt,2005,65.23455477154755,Mtep
total-energy,Egypt,2006,68.93224191285528,Mtep
total-energy,Egypt,2007,72.91322125926169,Mtep
total-energy,Egypt,2008,76.03223496994478,Mtep
total-energy,Egypt,2009,77.20063911073878,Mtep
total-energy,Egypt,2010,76.9801117793701,Mtep
total-energy,Egypt,2011,84.6483618169806,Mtep
total-energy,Egypt,2012,82.12623975903782,Mtep
total-energy,Egypt,2013,81.72602740570679,Mtep
total-energy,Egypt,2014,83.0060442403246,Mtep
total-energy,Egypt,2015,81.50253699947328,Mtep
total-energy,Egypt,2016,88.76804066416047,Mtep
total-energy,Egypt,2017,93.12930443914126,Mtep
total-energy,Egypt,2018,89.23650501955748,Mtep
total-energy,Egypt,2019,89.66676132532085,Mtep
total-energy,Egypt,2020,94.96044043745185,Mtep
total-energy,Egypt,2021,100.6980383283864,Mtep
total-energy,Egypt,2022,94.22989849017539,Mtep
total-energy,Egypt,2023,93.08358786723211,Mtep
total-energy,Egypt,2024,98.13722780564329,Mtep
total-energy,France,1990,223.55381944633976,Mtep
total-energy,France,1991,236.4618866216908,Mtep
total-energy,France,1992,232.33783348290456,Mtep
total-energy,France,1993,236.2948092260158,Mtep
total-energy,France,1994,227.3056234119855,Mtep
total-energy,France,1995,236.80960028018052,Mtep
total-energy,France,1996,250.27603028462386,Mtep
total-energy,France,1997,242.5821706279899,Mtep
total-energy,France,1998,249.65690117141392,Mtep
total-energy,France,1999,249.2323802412173,Mtep
total-energy,France,2000,251.7166748087593,Mtep
total-energy,France,2001,260.2611437872858,Mtep
total-energy,France,2002,260.8734254530993,Mtep
total-energy,France,2003,267.53111901495595,Mtep
total-energy,France,2004,271.4066231153948,Mtep
total-energy,France,2005,272.5240398933567,Mtep
total-energy,France,2006,268.12780930474065,Mtep
total-energy,France,2007,265.25321590773274,Mtep
total-energy,France,2008,266.4776463101201,Mtep
total-energy,France,2009,254.9154394958455,Mtep
total-energy,France,2010,262.79298457132205,Mtep
total-energy,France,2011,257.8597992679125,Mtep
total-energy,France,2012,257.764959337155,Mtep
total-energy,France,2013,258.8328056120272,Mtep
total-energy,France,2014,248.82229330520894,Mtep
total-energy,France,2015,252.60468587181512,Mtep
total-energy,France,2016,247.93122587586257,Mtep
total-energy,France,2017,247.60909245890414,Mtep
total-energy,France,2018,246.16308566359538,Mtep
total-energy,France,2019,242.67149515584887,Mtep
total-energy,France,2020,218.04462744503041,Mtep
total-energy,France,2021,233.95668195593254,Mtep
total-energy,France,2022,210.3933723684117,Mtep
total-energy,France,2023,213.71553547297714,Mtep
total-energy,France,2024,217.76826474028096,Mtep
total-energy,Germany,1990,352.20253382255464,Mtep
total-energy,Germany,1991,345.0937674468749,Mtep
total-energy,Germany,1992,338.56734548293684,Mtep
total-energy,Germany,1993,335.22138094906126,Mtep
total-energy,Germany,1994,333.68547283802366,Mtep
total-energy,Germany,1995,337.1027293649288,Mtep
