country,year,co2-emissions,coal-lignite,electricity,natural-gas,oil-products,total-energy
40,2000,0.1591231758318705,0.4472069207239276,0.2272692546554275,-0.3891863348034396,0.2761874526338272,0.0899107168255732
40,2001,0.17331144433963,0.4972565369445375,0.2394473256810972,-0.3704737348096483,0.3138791026689132,0.119957268046327
40,2002,0.2004722394933595,0.5406452463611676,0.2805269676414739,-0.3430888916947732,0.3150242062857258,0.1512962660595072
40,2003,0.23433757840507,0.6040863817514096,0.3214621017471769,-0.3388345031893885,0.341780923191249,0.1792845828889368
40,2004,0.2684417800009065,0.6288030856380462,0.3646874663981606,-0.2963119663215907,0.3655861758449874,0.2154851784142331
40,2005,0.2946308487779263,0.6600074496571965,0.4000524795600838,-0.2805210180755831,0.3549738071145267,0.2188632938899113
40,2006,0.3204702754918505,0.6985878450328605,0.4297203800271503,-0.2743434629813127,0.3608928638380512,0.2366274055745393
40,2007,0.3305554271380843,0.7373127660709176,0.4608640122222466,-0.2473062903249421,0.396294306639512,0.2720118985220295
40,2008,0.292950092734879,0.701558949723159,0.4488523441807465,-0.2202849763210648,0.3559253720918782,0.2449463128122868
40,2009,0.2511708630597541,0.6667955040409949,0.4101373762059367,-0.2323552407129008,0.3448130285428091,0.2287817379251581
40,2010,0.3065546061714511,0.7103144005349346,0.4833240360592332,-0.1482903536910189,0.3754727746774682,0.2802794732734737
40,2011,0.3214730220446549,0.7712016603537762,0.5039229738890607,-0.1105912869738421,0.3139274873287785,0.2746105799558682
40,2012,0.3076827008687448,0.7686037388128321,0.5016152272401835,-0.0913748697893055,0.3100889709794628,0.2678683967689831
40,2013,0.3114146871608886,0.7797987437590114,0.5196042656340888,-0.0810649158242135,0.3265881399935378,0.2805248554374143
40,2014,0.3253671540869307,0.7835013574025462,0.5437283193127708,-0.0564321588650797,0.347054851116569,0.2974132778088642
40,2015,0.3276328093224193,0.7389638879943282,0.5382457788869748,-0.0186287910103515,0.3672635107203186,0.2895240845941862
40,2016,0.3442250402096,0.7586139129685768,0.5617129786807771,0.007573972545608,0.3645862262077708,0.2947300597005815
40,2017,0.3685656888160946,0.7799834769688029,0.5848836264616596,0.0639010961701869,0.3551192352738619,0.2957975299604148
40,2018,0.3506759944002662,0.7571683787105095,0.6058382462911236,0.0724399686337511,0.3504673244075506,0.3033071439430752
40,2019,0.3237200856577952,0.7160138998858769,0.6018547865594519,0.0593164439072535,0.3034589984485374,0.2860902675804922
40,2020,0.3204377404548924,0.6997140339864785,0.6275997717069292,0.1152494501299162,0.293977846937508,0.2692321860332724
40,2021,0.3496870639030844,0.7295247943520252,0.6809790070407039,0.1721975534499635,0.3244230071056645,0.3036183913186841
40,2022,0.3189924978371651,0.6690262655145414,0.6666536543912067,0.1995251980649847,0.2497531549734265,0.2678940227374012
40,2023,0.2957552114546231,0.6237254720087434,0.6388001699205075,0.1892641208868533,0.2082746583820288,0.2247994938056135
40,2024,0.279428695596277,0.5853320308228842,0.6667003934715887,0.2471649040289921,0.2165660549150259,0.2197978942917904
41,1990,-0.3071740329045279,-0.0264778109256288,-0.3206651190335228,-0.451021050718906,-0.1000032778190526,-0.2252300580114457
41,1991,-0.2802622419725488,0.0063048934253468,-0.2983364659735122,-0.4183784543543656,-0.0846814688617006,-0.1952120895232663
